record_id,type_of_reference,primary_title,publication_year,keywords,alternate_title3,volume,number,start_page,end_page,url,notes,notes_abstract,first_authors,language,place_published,doi,publisher,issn,unknown_tag,edition,included,asreview_ranking
228,JOUR,Exploring the Role of the Environmental Context in the Spatial Distribution of Callsfor- Service Associated with Emotionally Disturbed Persons.,2016/06,"EMOTIONS, EVERYDAY life, MENTAL health of police, MENTAL illness, POLICE psychology",Policing: A Journal of Policy & Practice,10,2,121,133,http://10.0.4.69/police/pav040,"Accession Number: 115485215; Vaughan, Adam D. 1; Email Address: adamv@sfu.ca; Hewitt, Ashley N. 1; Andresen, Martin A. 1; Brantingham, Patricia L. 1; Affiliations: 1 : School of Criminology, Simon Fraser University, Burnaby, BC, Canada; Source Info: Jun2016, Vol. 10 Issue 2, p121; Subject Term: MENTAL health of police; Subject Term: MENTAL illness; Subject Term: EVERYDAY life; Subject Term: EMOTIONS; Subject Term: POLICE psychology; Number of Pages: 13p; Document Type: Article","A subset of persons with mental illness is at risk for becoming involved with the police, and an even smaller subset of emotionally disturbed persons (EDP) has multiple contacts over time. Not much is known, however, about the nature of these contacts and how the patterns of everyday life can lead to the initial contact with, and type of police response to, EDP. To address this issue, a spatial point pattern test is used to compare the spatial distributions of callsfor- service involving EDP (n = 2,847) to all other police contacts (n = 137,901) in an urban Canadian setting. Findings indicate that there are significant variations among these two calls-for-service, with EDP calls clustering on very few street segments. To better understand this clustering, a series of place attractors that may affect EDP are analyzed. It is suggested that a link may exist between the density of place attractors and that of EDP calls-for-service. [ABSTRACT FROM AUTHOR]","Vaughan, Adam D, Hewitt, Ashley N, Andresen, Martin A, Brantingham, Patricia L",NA,NA,NA,NA,NA,NA,NA,1,1
664,JOUR,The importance of gender in the spatial distribution of police interactions involving emotionally disturbed persons: an examination of call types,2019,"ARREST, DISORDER, ENCOUNTERS, HEALTH, OFFENDERS, PEOPLE, SERVICES, SEVERE MENTAL-ILLNESS, Spatial clustering, VICTIMIZATION, WOMEN, emotionally disturbed persons, gender, police event types",POLICING & SOCIETY,29,2,137,154,NA,NA,"The current study investigates gender differences in the spatial distribution of the British Columbia Mental Health Act (MHA), criminal and non-criminal police calls-for-service involving emotionally disturbed persons (EDP). Using a sample of 4341 police incidents over a three-year period, 13 pairwise spatial comparisons of similarity were completed across four dimensions: Mental Health Act events, criminal and non-criminal events, and gender. Results indicate that the locations in which EDP intersect with police services are spatially concentrated, and the spatial patterns differ depending on whether the events are calls that fall under the Mental Health Act, criminal, or non-criminal in nature. When considering the gender component, findings indicate that the locations of Mental Health Act calls are the most spatially distinct between males and females. Findings further emphasise that EDP are involved in many different types of contacts with the police, most of which are apprehensions under the British Columbia Mental Health Act, followed by criminal and non-criminal interactions. From a spatial perspective, the findings also highlight the need to differentiate between genders as well as event types to improve police resourcing and better guide situational crime prevention efforts. NR  - 55 PU  - ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD PI  - ABINGDON PA  - 2-4 PARK SQUARE, MILTON PARK, ABINGDON OX14 4RN, OXON, ENGLAND","Vaughan, A D, Hewitt, A N, Andresen, M A, Verdun-Jones, S N, Brantingham, P L",English,NA,10.1080/10439463.2017.1373110,NA,NA,NA,NA,1,2
759,JOUR,Repeat burglary victimisation: Spatial and temporal patterns,2000,"CRIME, MULTIPLE VICTIMIZATION, RECIDIVISM, TIME COURSE",AUSTRALIAN AND NEW ZEALAND JOURNAL OF CRIMINOLOGY,33,1,37,63,NA,NA,"To date there has been little Australian research on repeat victimisation. This is a study of repeat burglary in an area of Brisbane using police calls for service data. We demonstrate: (a) the prevalence of residential repeat victim addresses ('hot dots') is of a similar magnitude to that found in studies in the United Kingdom; (b) the time distributions of revictimisation are identical with those found in studies in the UK and elsewhere; (c) 'hot spots' (small areas with high crime density) can be identified by statistical analyses of spatial concentrations of incidents; (d) unstable hot spots tend to be temporary aggregations of hot dots, whereas stable hot spots seem to reflect more the social and physical characteristics of certain localities; and (e) the overall incidence of burglary could be reduced by at least 25 per cent if all repeat victimisation could be eliminated. There are a number of areas where concepts and techniques for repeat victim research could potentially be strengthened: (a) clarifying the connections between hot dots and hot spots, particularly through exploration of the concept of a 'near repeat address'; (b) applying survival analysis to the data on the time periods between victimisations; and (c) using moving average techniques to examine changes in the spatial distributions of burglary over time. NR  - 79 PU  - AUSTRALIAN ACAD PRESS PI  - BOWEN HILLS PA  - 32 JEAYS ST, BOWEN HILLS, QLD 4006, AUSTRALIA","Townsley, M, Homel, R, Chaseling, J",English,NA,10.1177/000486580003300104,NA,NA,NA,NA,1,3
649,JOUR,Policing and public health calls for service in Philadelphia,2021,"CAD, Calls for service, Medical, Philadelphia, Police, Public health",CRIME SCIENCE,10,1,NA,NA,NA,NA,"This contribution outlines various spatial and temporal aspects of medical or public-health related calls for service from the public to police in Philadelphia in 2019. These incidents comprise about 8% of the police department's workload that originates from the public. Calls appear to be highly concentrated in a few areas, and specifically the Center City and Kensington neighborhoods. They are also more likely to occur late afternoon and evening. The article shows that some medical or public health activity initially masquerades as crime or other policing work and some events eventually determined to be police/crime activity can initially appear to be public health related. About 20% of activity in this area does not appear predictable from the initial call type as handled by police dispatch. NR  - 10 PU  - BMC PI  - LONDON PA  - CAMPUS, 4 CRINAN ST, LONDON N1 9XW, ENGLAND","Ratcliffe, J H",English,NA,10.1186/s40163-021-00141-0,NA,NA,NA,NA,1,4
2675,JOUR,Analyzing Local Spatio-Temporal Patterns of Police Calls-for-Service Using Bayesian Integrated Nested Laplace Approximation,2016,"Bayesian, CITY, CRIME TRENDS, HOMICIDE, HOT-SPOTS, INDICATORS, Integrated Nested Laplace Approximation (INLA), MODELS, SPATIAL-PATTERNS, STABILITY, STREET SEGMENTS, TIME, law enforcement, police calls-for-service, spatio-temporal",ISPRS INTERNATIONAL JOURNAL OF GEO-INFORMATION,5,9,NA,NA,NA,NA,"This research investigates spatio-temporal patterns of police calls-for-service in the Region of Waterloo, Canada, at a fine spatial and temporal resolution. Modeling was implemented via Bayesian Integrated Nested Laplace Approximation (INLA). Temporal patterns for two-hour time periods, spatial patterns at the small-area scale, and space-time interaction (i.e., unusual departures from overall spatial and temporal patterns) were estimated. Temporally, calls-for-service were found to be lowest in the early morning (02:00-03:59) and highest in the evening (20:00-21:59), while high levels of calls-for-service were spatially located in central business areas and in areas characterized by major roadways, universities, and shopping centres. Space-time interaction was observed to be geographically dispersed during daytime hours but concentrated in central business areas during evening hours. Interpreted through the routine activity theory, results are discussed with respect to law enforcement resource demand and allocation, and the advantages of modeling spatio-temporal datasets with Bayesian INLA methods are highlighted. FU  - Social Sciences and Humanities Resource Council of Canada [767-2013-1540]; Chinese Scholarship Council (CSC)China Scholarship Council FX  - The authors thank the Waterloo Regional Police Service for providing calls-for-service data. This research was supported by the Social Sciences and Humanities Resource Council of Canada Grant 767-2013-1540. Hui Luan is grateful to the Chinese Scholarship Council (CSC) for supporting his doctoral research at the University of Waterloo. NR  - 68 PU  - MDPI PI  - BASEL PA  - ST ALBAN-ANLAGE 66, CH-4052 BASEL, SWITZERLAND","Luan, H, Quick, M, Law, J",English,NA,10.3390/ijgi5090162,NA,NA,NA,NA,1,5
1203,CHAP,"Social disorganization, alcohol, and drug markets and violence*: A space-time model of community structure",2008,NA,Geography and Drug Addiction,NA,NA,117,130,https://www.scopus.com/inward/record.uri?eid=2-s2.0-84878545293&doi=10.1007%2F978-1-4020-8509-3_7&partnerID=40&md5=26637d33890e1ab6098377cfb4cf31d2,"Cited By :14, Export Date: 19 August 2021, Correspondence Address: Prevention Research Center, , Berkeley, CA, United States","The United States remains one of the most violent countries in the developed world. We believe that at least three separate sets of factors have contributed to these high rates: (1) social disorganization and related community structural factors, (2) over-densities in the distribution of alcohol outlets, and (3) illegal drug markets. Data were collected for the city of Sacramento, CA, for the years 1997 through 2001 and geocoded to 304 Census block groups. The outcome measure for the study was numbers of Emergency Medical System (EMS, ambulance, and fire) calls for service related to assault injuries. Data on population and housing characteristics related to social disorganization were obtained from the US Census. California Alcohol Beverage Control data provided the locations of active alcohol outlets in the city separated into bars and taverns and off-premise establishments. Sacramento Police Department incident reports related to drug sales and transport were used to indicate areas of the city where drug market activities were most prevalent. Bayesian disease models were used to assess statistical relationships between EMS assault injuries and these independent measures. The index of drug market activity and numbers of alcohol outlets were positively related to the number of assault injuries. Areas with lesser White and greater African-American populations had more assaults. Lower education, greater amounts of vacant housing, and more unemployment were also related to greater levels of violence. However, contrary to the expectations, more owner-occupied housing and greater household incomes were positively related to the levels of assaults, and greater numbers of households below the poverty line were related to lower levels of assaults. A substantive effect was observed for the interaction of drug arrests and poverty, indicating lower levels of violence in poor areas with high degrees of drug activity (actually increasing the size of the anomalous effect noted in the previous paragraph). Substantive positive interactions were observed with respect to sizes of minority populations, African-Americans, and Hispanics. Drug market activities and alcohol outlets have separable and substantive effects upon observed rates of violence. These environmental conditions serve as catalysts for violence among at-risk populations. Â© 2008 Springer Science+Business Media B.V.","Banerjee, A, Lascala, E, Gruenewald, P J, Freisthler, B, Treno, A, Remer, L G",English,"Prevention Research Center, Pacific Institute for Research and Evaluation, Berkeley, CA, United States University of California, Los Angeles, United States University of California, Berkeley, United States",10.1007/978-1-4020-8509-3_7,Springer Netherlands,9781402085086 (ISBN),NA,NA,1,6
607,JOUR,"A spatial analysis of crime in Vancouver, British Columbia: A synthesis of social disorganization and routine activity theory.",2006/01,"CRIMINAL justice administration, CRIMINAL statistics, LIFESTYLES, POLICE, Routine Activities, SPATIAL analysis (Statistics), VIOLENT crimes",Le GÃ©ographe canadien. (The Canadian Geographer),50,4,487,502,https://search.ebscohost.com/login.aspx?direct=true&db=cja&AN=CJA0410040002914&site=ehost-live,"Accession Number: CJA0410040002914; Andresen, M. A.; Source Info: 2006, Vol. 50 Issue 4, p487; Note: eISSN: 1541-0064; Note: CJA Print Source Information: December 2009, 41:4; Subject Term: VIOLENT crimes; Subject Term: CRIMINAL justice administration; Subject Term: CRIMINAL statistics; Subject Term: POLICE; Subject Term: LIFESTYLES; Subject Term: SPATIAL analysis (Statistics); Number of Pages: 16p; Document Type: Article","This study investigates the spatial dimension of automotive theft, break and enter, and violent crime in Vancouver, British Columbia, during 1996. The analysis synthesizes social disorganization theory and routine activity theory as a theoretical backcloth and attempts to account for spatial autocorrelation between crime rates and socioeconomic characteristics at the census tract level. Data were obtained from Statistics Canada's 1996 Census and the Vancouver Police Department's calls for service database. Overall, the results support the utility of synthesizing social disorganization and routine activity theories. In particular, high unemployment (social disorganization theory) and the presence of young populations (routine activity theory) are the strongest predictors of criminal activity. Without such a synthesis, employing one of the theories in isolation would likely have reduced the predictive power in the spatial error statistical model.","Andresen, M A",NA,NA,NA,NA,NA,NA,NA,1,7
429,JOUR,Temporal Distributions of Crime and Disorder in Casino and Non-Casino Zones,2009,"Casino crime, Disorder, HOT-SPOTS, Hotspots, PATTERNS, ROUTINE ACTIVITIES, Spatial crime, Temporal crime, VICTIMIZATION",JOURNAL OF GAMBLING STUDIES,25,2,139,152,NA,NA,"Research on the relationship between casinos and crime has yielded mixed conclusions. Some authors argue that casinos are crime attractors and provide fertile grounds for disorder in the surrounding communities. Others claim that the impact of casinos on the crime problem has been over-stated and that casinos in themselves are not crime generators. Relying on calls for service and incidents known to the police, this research reveals the specific spatial and temporal characteristics of all criminal and disorderly behaviors around casino venues. NR  - 27 PU  - SPRINGER PI  - NEW YORK PA  - 233 SPRING ST, NEW YORK, NY 10013 USA","Barthe, E, Stitt, B G",English,NA,10.1007/s10899-009-9115-2,NA,NA,NA,NA,1,8
19,JOUR,Crime measures and the spatial analysis of criminal activity,2006,"RATES, ROUTINE ACTIVITY, UNITED-STATES, VICTIMIZATION",BRITISH JOURNAL OF CRIMINOLOGY,46,2,258,285,NA,NA,"This paper investigates the spatial aspect of criminal activity in Vancouver, Canada, employing social disorganization theory, routine activity theory and multiple measures of crime. Crime counts and crime rates with residential and ambient populations as denominators are calculated using the calls for service made to the Vancouver Police Department. The ambient population-a 24-hour average estimate of a population in a spatial unit to capture the population at risk-is obtained from the LandScan Global Population Database and calculated at a spatial resolution relevant to criminological research. Utilizing a spatial regression technique, strong support is found for routine activity theory across space and the use of ambient populations when calculating crime rates and measuring the population at risk. NR  - 45 PU  - OXFORD UNIV PRESS PI  - OXFORD PA  - GREAT CLARENDON ST, OXFORD OX2 6DP, ENGLAND","Andresen, M A",English,NA,10.1093/bjc/azi054,NA,NA,NA,NA,1,9
130,JOUR,Routine crime in exceptional times: The impact of the 2002 Winter Olympics on citizen demand for police services,2007,NA,JOURNAL OF CRIMINAL JUSTICE,35,1,89,101,NA,NA,"Despite their rich theoretical and practical importance, criminologists have paid scant attention to the patterns of crime and the responses to crime during exceptional events. Throughout the world large-scale political, social, economic, cultural, and sporting events have become commonplace. Natural disasters such as blackouts, hurricanes, tornadoes, and tsunamis present similar opportunities. Such events often tax the capacities of jurisdictions to provide safety and security in response to the exceptional event, as well as to meet the ""routine"" public safety needs. This article examines ""routine"" crime as measured by calls for police service, official crime reports, and police arrests in Salt Lake City before, during, and after the 2002 Olympic Games. The analyses suggest that while a rather benign demographic among attendees and the presence of large numbers of social control agents might have been expected to decrease calls for police service for minor crime, it actually increased in Salt Lake during this period. The implications of these findings are considered for theories of routine activities, as well as systems capacity. (C) 2006 Elsevier Ltd. All rights reserved. NR  - 19 PU  - PERGAMON-ELSEVIER SCIENCE LTD PI  - OXFORD PA  - THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, ENGLAND","Decker, S H, Varano, S P, Greene, J R",English,NA,10.1016/j.jcrimjus.2006.11.018,NA,NA,NA,NA,1,10
