Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
76,"C Brunsdon, J Corcoran, G Higgs, ...","The influence of weather on local geographical patterns of police calls for service",2009,"… and Planning B …","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1068/b32133","https://scholar.google.com/scholar?cites=9158695349695768712&as_sdt=2005&sciodt=0,5&hl=en",1,"2021-09-29 11:06:12","","10.1068/b32133","","",,,,,76,6.33,19,4,12,"The effect of weather elements on the incidence of different types of crime has been the focus of a number of research studies. However, the detailed geographical dimension of this relationship has been largely ignored. The aim of this paper is to broaden the research on …","http://eprints.maynoothuniversity.ie/5888/1/CB_Weather.pdf","https://scholar.google.com/scholar?q=related:iGijTOU4Gn8J:scholar.google.com/&scioq=police%7Cpolicing%7C%22law+enforcement%22+%22calls+for+service%22%7C%22calls+for+assistance%22%7C%22calls+for+police+service%22%7C%22reactive+demand%22%7C%22public+demand%22%7C%22citizen+demand%22&hl=en&as_sdt=0,5"
73,"EJ Scott","Calls for service: Citizen demand and initial police response",1981,"","ojp.gov","https://www.ojp.gov/library/abstracts/calls-service-citizen-demand-and-initial-police-response","https://scholar.google.com/scholar?cites=2526486023503597943&as_sdt=2005&sciodt=0,5&hl=en",2,"2021-09-29 11:06:12","BOOK","","","",,,,,73,1.83,73,1,40,"Data were drawn from more than 26,000 citizen calls to police and operator responses to those calls and from more than 12,000 citizen interviews in Rochester, NY, St. Louis, Mo., and Tampa-St. Petersburg, Fla. Requests for information constituted one of the largest …","","https://scholar.google.com/scholar?q=related:d9HrCKfhDyMJ:scholar.google.com/&scioq=police%7Cpolicing%7C%22law+enforcement%22+%22calls+for+service%22%7C%22calls+for+assistance%22%7C%22calls+for+police+service%22%7C%22reactive+demand%22%7C%22public+demand%22%7C%22citizen+demand%22&hl=en&as_sdt=0,5"
101,"JM MacDonald, PW Manz, GP Alpert, ...","Police use of force: Examining the relationship between calls for service and the balance of police force and suspect resistance",2003,"Journal of criminal …","Elsevier","https://www.sciencedirect.com/science/article/pii/S0047235202002192","https://scholar.google.com/scholar?cites=13168264781797811179&as_sdt=2005&sciodt=0,5&hl=en",3,"2021-09-29 11:06:12","HTML","","","",,,,,101,5.61,25,4,18,"Over the past decade, the use of force by the police has become an important public policy concern and topic of social science research. A number of researchers hypothesized about the factors that explain the amount of force used by police officers. Prior research focused …","https://www.sciencedirect.com/science/article/pii/S0047235202002192","https://scholar.google.com/scholar?q=related:62NY8wwTv7YJ:scholar.google.com/&scioq=police%7Cpolicing%7C%22law+enforcement%22+%22calls+for+service%22%7C%22calls+for+assistance%22%7C%22calls+for+police+service%22%7C%22reactive+demand%22%7C%22public+demand%22%7C%22citizen+demand%22&hl=en&as_sdt=0,5"
167,"EG Cohn","The prediction of police calls for service: The influence of weather and temporal variables on rape and domestic violence",1993,"Journal of Environmental Psychology","Elsevier","https://www.sciencedirect.com/science/article/pii/S0272494405802166","https://scholar.google.com/scholar?cites=4003363460650237518&as_sdt=2005&sciodt=0,5&hl=en",4,"2021-09-29 11:06:12","","","","",,,,,167,5.96,167,1,28,"Rape and domestic violence are two of the most controversial types of criminal behavior. Both are violent crimes and both are usually directed towards women. This research examines the short-term effect of weather and temporal variations (time of day, day of week …","https://scholar.google.com/scholar?output=instlink&q=info:Tv7VUtvNjjcJ:scholar.google.com/&hl=en&as_sdt=0,5&scillfp=18279935109901959743&oi=lle","https://scholar.google.com/scholar?q=related:Tv7VUtvNjjcJ:scholar.google.com/&scioq=police%7Cpolicing%7C%22law+enforcement%22+%22calls+for+service%22%7C%22calls+for+assistance%22%7C%22calls+for+police+service%22%7C%22reactive+demand%22%7C%22public+demand%22%7C%22citizen+demand%22&hl=en&as_sdt=0,5"
25,"MPJ Ashby","Changes in police calls for service during the early months of the 2020 coronavirus pandemic",2020,"Policing: A Journal of Policy and Practice","academic.oup.com","https://academic.oup.com/policing/article-abstract/14/4/1054/5862542","https://scholar.google.com/scholar?cites=14739481624137356085&as_sdt=2005&sciodt=0,5&hl=en",5,"2021-09-29 11:06:12","","","","",,,,,25,25.00,25,1,1,"The coronavirus pandemic poses multiple challenges for policing, including the need to continue responding to calls from the public. Several contingency plans warned police to expect a large and potentially overwhelming increase in demand from the public during a …","https://academic.oup.com/policing/article/14/4/1054/5862542","https://scholar.google.com/scholar?q=related:NdMarHEojcwJ:scholar.google.com/&scioq=police%7Cpolicing%7C%22law+enforcement%22+%22calls+for+service%22%7C%22calls+for+assistance%22%7C%22calls+for+police+service%22%7C%22reactive+demand%22%7C%22public+demand%22%7C%22citizen+demand%22&hl=en&as_sdt=0,5"
21,"L Boulton, M McManus, L Metcalfe, D Brian, ...","Calls for police service: Understanding the demand profile and the UK police response",2017,"The police …","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1177/0032258X16671032","https://scholar.google.com/scholar?cites=13710599682854753976&as_sdt=2005&sciodt=0,5&hl=en",6,"2021-09-29 11:06:12","","10.1177/0032258X16671032","","",,,,,21,5.25,4,5,4,"In times of austerity and police budget cuts, it is important to understand the demand on the UK police service in order to reduce it effectively. This paper reviews the demand on a division within a police service in England over the period of a year. Utilising police data …","https://journals.sagepub.com/doi/pdf/10.1177/0032258X16671032","https://scholar.google.com/scholar?q=related:uBYkCsXVRb4J:scholar.google.com/&scioq=police%7Cpolicing%7C%22law+enforcement%22+%22calls+for+service%22%7C%22calls+for+assistance%22%7C%22calls+for+police+service%22%7C%22reactive+demand%22%7C%22public+demand%22%7C%22citizen+demand%22&hl=en&as_sdt=0,5"
32,"RR Johnson, TN Rhodes","Urban and small town comparison of citizen demand for police services",2009,"International journal of police …","journals.sagepub.com","https://journals.sagepub.com/doi/abs/10.1350/ijps.2009.11.1.107","https://scholar.google.com/scholar?cites=7145760577295337176&as_sdt=2005&sciodt=0,5&hl=en",7,"2021-09-29 11:06:12","","10.1350/ijps.2009.11.1.107","","",,,,,32,2.67,16,2,12,"Little is known about the similarities and differences that exist between urban and small town police agencies with regard to citizen calls for service. The research about citizen demand for policing services in the USA has focused overwhelmingly on city police agencies and the …","https://journals.sagepub.com/doi/pdf/10.1350/ijps.2009.11.1.107","https://scholar.google.com/scholar?q=related:2Matm2LXKmMJ:scholar.google.com/&scioq=police%7Cpolicing%7C%22law+enforcement%22+%22calls+for+service%22%7C%22calls+for+assistance%22%7C%22calls+for+police+service%22%7C%22reactive+demand%22%7C%22public+demand%22%7C%22citizen+demand%22&hl=en&as_sdt=0,5"
38,"EG Cohn","The effect of weather and temporal variations on calls for police service",1996,"American Journal of Police","emerald.com","https://www.emerald.com/insight/content/doi/10.1108/07358549610116545/full/html","https://scholar.google.com/scholar?cites=8522422322026921471&as_sdt=2005&sciodt=0,5&hl=en",8,"2021-09-29 11:06:12","","10.1108/07358549610116545","","",,,,,38,1.52,38,1,25,"Examines the effect of weather and temporal factors on the total calls for service (CFS) at the Minneapolis Police Department. Aims at the eventual development of an instrument to predict short‐term variations in CFS over time‐a goal which at present is unique. Finds that …","https://www.researchgate.net/profile/Ellen-Cohn-4/publication/242349365_Effect_of_weather_and_temporal_variation_on_calls_for_police_service/links/00b7d534fee72b76cc000000/Effect-of-weather-and-temporal-variation-on-calls-for-police-service.pdf","https://scholar.google.com/scholar?q=related:_z1GuvK5RXYJ:scholar.google.com/&scioq=police%7Cpolicing%7C%22law+enforcement%22+%22calls+for+service%22%7C%22calls+for+assistance%22%7C%22calls+for+police+service%22%7C%22reactive+demand%22%7C%22public+demand%22%7C%22citizen+demand%22&hl=en&as_sdt=0,5"
46,"JL LeBeau, WT Corcoran","Changes in calls for police service with changes in routine activities and the arrival and passage of weather fronts",1990,"Journal of Quantitative Criminology","Springer","https://link.springer.com/article/10.1007/BF01065411","https://scholar.google.com/scholar?cites=3273384701630413032&as_sdt=2005&sciodt=0,5&hl=en",9,"2021-09-29 11:06:12","","10.1007/BF01065411","","",,,,,46,1.48,23,2,31,"Proceeding on the assumptions that the day of the week is the best predictor of the levels of calls for police service, that calls for police service emanate from the pursuit of routine activities, and that weather influences routine activities, this paper examines how the …","https://link.springer.com/content/pdf/10.1007/BF01065411.pdf","https://scholar.google.com/scholar?q=related:6PjgAQtmbS0J:scholar.google.com/&scioq=police%7Cpolicing%7C%22law+enforcement%22+%22calls+for+service%22%7C%22calls+for+assistance%22%7C%22calls+for+police+service%22%7C%22reactive+demand%22%7C%22public+demand%22%7C%22citizen+demand%22&hl=en&as_sdt=0,5"
99,"SA Foster, WL Gorr","An adaptive filter for estimating spatially-varying parameters: Application to modeling police hours spent in response to calls for service",1986,"Management Science","pubsonline.informs.org","https://pubsonline.informs.org/doi/abs/10.1287/mnsc.32.7.878","https://scholar.google.com/scholar?cites=1207508191331822157&as_sdt=2005&sciodt=0,5&hl=en",10,"2021-09-29 11:06:12","","10.1287/mnsc.32.7.878","","",,,,,99,2.83,50,2,35,"The Spatial Adaptive Filter (SAF), introduced in this paper, uses generalized damped negative feedback to estimate spatially-varying parameters for multivariate models. Previous adaptive filters have been designed to estimate time-varying parameters and process data …","https://www.jstor.org/stable/pdf/2631768.pdf","https://scholar.google.com/scholar?q=related:TSq1Z03uwRAJ:scholar.google.com/&scioq=police%7Cpolicing%7C%22law+enforcement%22+%22calls+for+service%22%7C%22calls+for+assistance%22%7C%22calls+for+police+service%22%7C%22reactive+demand%22%7C%22public+demand%22%7C%22citizen+demand%22&hl=en&as_sdt=0,5"
