google_id,google_title,google_year,google_source,google_abstract,google_authors,google_title_simple
20,Examining the spatial concentration of mental health calls for police service in a small city,2021,Policing: A Journal of Policy and Practice,"In recent years, police services have begun deploying more robust responses to calls for service involving persons with perceived mental illness (PwPMI), but at times do so in a limited capacity because of various challenges. Drawing from established evidence-based …",J Koziarski,examining the spatial concentration of mental health calls for police service in a small city
25,Calling the police: Dispatchers as important interpreters and manufacturers of calls for service data,2021,Policing: A Journal of Policy and Practice,"Policing has historically been conceptualized as a team sport which requires the work of many to produce the output of one. Although police officers have been the focus of much policing research, it is important to recognize that the work of officers hinges upon the work …",R Simpson,calling the police dispatchers as important interpreters and manufacturers of calls for service data
119,"COVID-19, staying at home, and domestic violence",2021,Review of Economics of the Household,"… When possible, we collect data on police calls for service to capture incidents of domestic violence which may not be reported as a crime. Footnote 5 … Third, we restrict the analysis to more uniform sets of calls for service and police incident data …","LC Hsu, A Henke",covid19 staying at home and domestic violence
241,A comparative study of police organizational changes during the COVID-19 pandemic: responding to public health crisis or something else?,2021,Policing: A Journal of Policy and …,"… Police Chief's Associations in the USA, The European Union Agency for Law Enforcement Training in … strategies (α = 0.91), crime prevention strategies (α = 0.91), and reactive policing (α = 0.87 … Police training, 0.09, 0.34 †, 0.13, 0.27, −0.11, −0.28, 0.21, −0.05, −0.19, −0.18, 0.06, −0.16 …","J Maskály, SK Ivković, P Neyroud",a comparative study of police organizational changes during the covid19 pandemic responding to public health crisis or something else
373,Public assessments of police during the COVID-19 pandemic: the effects of procedural justice and personal protective equipment,2021,Policing: An International Journal,"… still has been some variation in how police agencies (and individual officers) have dealt with pandemic-related calls for service, with some … 3.1 Contention regarding the policing of a pandemic The plausibility of potentially negative assessments of police during the …","R Sandrin, R Simpson",public assessments of police during the covid19 pandemic the effects of procedural justice and personal protective equipment
380,Optimization of Public Services by Bhabinkamtibmas in Improving Community Trust Building in the Assisted Village of the Bogor Police,2021,Tanggon Kosala,… Abstract. The background of this research is to improve community trust building towards the police by optimizing public services carried out by members of the Bhabinkamtibmas Bogor Police. The public demand for good public services as regulated in Law Number 25 of 2009 …,MS Hartanto,optimization of public services by bhabinkamtibmas in improving community trust building in the assisted village of the bogor police
381,Police fatal force and crime reporting: a test of community responses to fatal police-civilian encounters,2021,Journal of interpersonal violence,Public perceptions of police legitimacy and effectiveness have been challenged by recent high-profile use of fatal force incidents by the police. Prior scholarship suggests that that controversial ...,"KG Sheppard, JI Stowell",police fatal force and crime reporting a test of community responses to fatal policecivilian encounters
408,Who Guards the Guardians? Political Accountability Over the Police in the United States,2021,NA,"… Page 24. 18 jurisdictions to unbundle the “problem solving” elements of policing from its traditional law enforcement function. Consequently, all jurisdictions need to emphasize cultivating a police culture which is sensitive to the plethora of roles which fall on police. References …",MJ Zoorob,who guards the guardians political accountability over the police in the united states
438,Do everyday proactive policing activities reduce vehicle crashes? Examining a commonly held law enforcement belief using a novel method,2021,Journal of criminal justice,"… challenge to public safety and are often a top priority for many law enforcement agencies … To summarize, this body of studies suggests that levels of policing and proactive traffic enforcement, in … over time across large areas, indicative of a deterrent effect of police enforcement (eg …","X Wu, C Lum, C Koper",do everyday proactive policing activities reduce vehicle crashes examining a commonly held law enforcement belief using a novel method
484,"Opioids, race, and drug enforcement: Exploring local relationships between neighborhood context and Black–White opioid-related possession arrests",2021,Criminal Justice …,Opioid abuse has redefined drug problems in communities and shifted police activities to redress substance use. Changing neighborhood context around opioid issues may affect arrests and racial disp...,"EA Donnelly, J Wagner, M Stenger, ...",opioids race and drug enforcement exploring local relationships between neighborhood context and blackwhite opioidrelated possession arrests
517,The impact of strict measures as a result of the COVID-19 pandemic on the spatial pattern of the demand for police. Case study Antwerp (Belgium),2021,SocArXiv,"… 4. Discussion 326 327 Overnight, the police were forced to adapt their routine activities to a new reality. Since the first 328 … Laufs and 330 Waseem (2020) conducted a systematic review on the best practices for policing in pandemics. They 331 … observed in the calls for service …","M Dewinter, C Vandeviver, PM Dau, T Vander Beken, ...",the impact of strict measures as a result of the covid19 pandemic on the spatial pattern of the demand for police case study antwerp belgium
570,“It makes almost no difference which algorithm you use”: on the modularity of predictive policing,2021,Urban Geography,"… web.archive.org/web/*/https://www.esri.com/en-us/industries/public-safety/segments/law- enforcement. 4. Predictive policing can also be used to target individuals to determine their likelihood … For example, the Chicago Police Department produces a Strategic Subject List (SSL) …",N Lally,it makes almost no difference which algorithm you use on the modularity of predictive policing
686,The long-term and system-level impacts of institutionalizing hot spot policing in a small city,2021,Policing: A Journal of …,"… Introduction. 'Hot spot' policing—that is, policing focused on small geographic places or areas where crime is concentrated—has been one of the most important policing innovations of recent decades (Weisburd and Braga, 2019). Police in the USA and elsewhere commonly use …","CS Koper, C Lum, X Wu, ...",the longterm and systemlevel impacts of institutionalizing hot spot policing in a small city
787,Police Violence Reduces Civilian Cooperation and Engagement with Law Enforcement,2021,NA,"… have on public views of law enforcement and racial discrimination, given the large differences in policing intensity and aggression that exist across neighborhoods. 4 Discussion … police violence may have on civilian crime reporting. These effects are large, persistent and …","D Ang, P Bencsik, J Bruhn, E Derenoncourt",police violence reduces civilian cooperation and engagement with law enforcement
789,Estimating the impact of an integrated CCTV program on crime,2021,Journal of experimental criminology,"… An important feature of Project Green Light Detroit was its attempt to improve police responsiveness to calls for service at participating businesses. As part of the program, all calls for service, regardless of severity, were considered …","G Circo, E McGarrell",estimating the impact of an integrated cctv program on crime
799,Analyzing crime foreseeability: Premises security litigation and the case of convenience stores and gas stations,2021,Security Journal,"… at gas stations and convenience stores face a higher rate of workplace violence than almost any other non-law enforcement profession, according … represented 23% of all convenience stores in the city, these stores were responsible for almost 80% of police calls for service at all …","KF Gotham, DB Kennedy",analyzing crime foreseeability premises security litigation and the case of convenience stores and gas stations
831,"Is police misconduct contagious? non-trivial null findings from Dallas, Texas",2021,Journal of Quantitative Criminology,"… Journal article. Is police misconduct contagious? non-trivial null findings from Dallas, Texas. Abstract: Objectives: Understanding if police malfeasance might be “contagious” is vital to identifying efficacious paths to police reform …","C Simpson, D Kirk",is police misconduct contagious nontrivial null findings from dallas texas
923,The role of the police in disasters caused by pandemic infectious diseases,2021,International Journal of Disaster Risk Management,"… 3, No. 1 11. Janković, B., & Cvetković, VM (2020). Public perception of police behaviors in the dis- aster COVID-19 – the Case of Serbia. Policing: An International Journal, 43(6), 979-992 … The Immediate Impact of COVID-19 on Law Enforcement in the United States …",B Janković,the role of the police in disasters caused by pandemic infectious diseases
934,The Influence of Vacation Home Rentals on Neighborhood Crime and Disorder,2021,American Journal of Criminal Justice,"This study examines the association between vacation home rentals (VHR) and residential burglary, disturbances, and substance crimes from social disorganiz.",D Reinhard,the influence of vacation home rentals on neighborhood crime and disorder
45,How do the Police actually spend their time?,2020,The New York Times,"… What share of policing is devoted to handling violent crime … That could be relevant to the new conversations about the role of law enforcement that have arisen since the … For instance, there has been talk of “unbundling” the police — redirecting some of their duties, as well as …","J Asher, B Horwitz",how do the police actually spend their time
122,When stay-at-home orders leave victims unsafe at home: Exploring the risk and consequences of intimate partner violence during the COVID-19 pandemic,2020,American Journal of Criminal Justice,"… that are likely to shape increases, stability, or declines in IPV calls for service to the … We will therefore need to expand our data collection efforts beyond police reported incidents … COVID-19, self-report victimization surveys offer an advantage over official law enforcement estimates …",C Kaukinen,when stayathome orders leave victims unsafe at home exploring the risk and consequences of intimate partner violence during the covid19 pandemic
136,Crime rates in a pandemic: The largest criminological experiment in history,2020,American Journal of Criminal Justice,"… While not explicitly measuring crime rates, studies of calls for police service can function as an indirect measure of crime in a given area. Early studies of calls for service during the pandemic present mixed results. Lum, Maupin …","B Stickle, M Felson",crime rates in a pandemic the largest criminological experiment in history
177,Minor covid-19 association with crime in Sweden,2020,Crime science,"… the strongest impact appears to have been that traffic stops decreased, while calls for service for domestic … 2020) while we opted to use the standard Swedish police method combined with a … As criminals and law enforcement alike adjust to this new reality, this may well change …","M Gerell, J Kardell, J Kindgren",minor covid19 association with crime in sweden
208,Body-worn cameras' effects on police officers and citizen behavior: A systematic review,2020,Campbell Systematic …,"… on crim- inal investigations; and (f) the impact of BWCs on law enforcement organizations … Given the widespread diffusion of BWCs in policing, the enormous costs related to this … on civilian behaviors, as measured by com- munity members' compliance with police commands (as …","C Lum, CS Koper, DB Wilson, M Stoltz, ...",bodyworn cameras effects on police officers and citizen behavior a systematic review
213,The diffusion of detriment: tracking displacement using a city-wide mixed methods approach,2020,The British Journal of …,"… In the summer of 2013, a fast food restaurant, responsible for numerous social incivility calls for service in a medium-sized Canadian city, was torn down. Calls for police service immediately declined at the site, however shortly afterwards other problematic areas appeared to …","T Hodgkinson, G Saville, ...",the diffusion of detriment tracking displacement using a citywide mixed methods approach
411,Examining the empirical realities of proactive policing through systematic observations and computer-aided dispatch data,2020,Police …,"… Journal, New Content, Announcements. Police Quarterly, Contents. Article Menu. Download PDF [PDF]. Did you struggle to get access to this article? This product could help you. Accessing resources off campus can be a challenge. Lean Library can solve it. Full Art.","C Lum, CS Koper, X Wu, W Johnson, ...",examining the empirical realities of proactive policing through systematic observations and computeraided dispatch data
505,"Families under confinement: COVID-19, domestic violence, and alcohol consumption",2020,"… Violence, and Alcohol …","… Page 6. new increase in police calls in week ten. Ashby (2020), using police calls for service in … Uncertainty,” IZA Working Paper 13570. ASHBY, M. (2020): “Changes in Police Calls for Service During the Early Months of the 2020 Coronavirus Pandemic,” Working Paper …","A Silverio-Murillo, JR Balmori de la Miyar, ...",families under confinement covid19 domestic violence and alcohol consumption
521,The distribution of police use of force across patrol and specialty units: a case study in BWC impact,2020,Journal of Experimental Criminology,"… Brown, Gray, and other minority citizens—including Eric Garner, Walter Scott, Samuel Dubose, and Tamir Rice—contributed to then President Obama creating the President's Task Force on twenty-first Century Policing, the first presidential commission to examine police use of …","JE Gaub, N Todak, MD White",the distribution of police use of force across patrol and specialty units a case study in bwc impact
